,Code_x,Description,Code_y,City: Airport
3360,13655,"New Orleans, LA: Lakefront",NEW,"New Orleans, LA: Lakefront"
3361,13656,"Fallon, NV: Fallon NAS",NFL,"Fallon, NV: Fallon NAS"
3362,13657,"Young, Australia: Young Airport",NGA,"Young, Australia: Young Airport"
3363,13659,"Grand Canyon, AZ: North Rim",NGC,"Grand Canyon, AZ: North Rim"
3364,13660,"Anegada, British Virgin Islands: Auguste George",NGD,"Anegada, British Virgin Islands: Auguste George"
3365,13661,"N'Gaoundere, Cameroon: N'Gaoundere Airport",NGE,"N'Gaoundere, Cameroon: N'Gaoundere Airport"
3366,13662,"Kaneohe, HI: Kaneohe Bay MCAS",NGF,"Kaneohe, HI: Kaneohe Bay MCAS"
3367,13663,"Guam, TT: Agana NAS",NGM,"Guam, TT: Agana NAS"
3368,13664,"Nagoya, Japan: Nagoya Airport",NKM,"Nagoya, Japan: Nagoya Airport"
3369,13665,"Corpus Christi, TX: Corpus Christi NAS",NGP,"Corpus Christi, TX: Corpus Christi NAS"
3370,13666,"Nagasaki, Japan: Nagasaki Airport",NGS,"Nagasaki, Japan: Nagasaki Airport"
3371,13667,"Norfolk, VA: Norfolk NS",NGU,"Norfolk, VA: Norfolk NS"
3372,13668,"Alameda, CA: Alameda NAS",NGZ,"Alameda, CA: Alameda NAS"
3373,13669,"Nha-Trang, Vietnam: Nha Trang",NHA,"Nha-Trang, Vietnam: Nha Trang"
3374,13670,"Dubai, United Arab Emirates: Minhad AB",NHD,"Dubai, United Arab Emirates: Minhad AB"
3375,13671,"Patuxent River, MD: Patuxent River NAS",NHK,"Patuxent River, MD: Patuxent River NAS"
3376,13672,"Northolt, United Kingdom: RAF Northolt",NHT,"Northolt, United Kingdom: RAF Northolt"
3377,13673,"Nuku Hiva, French Polynesia: Nuku Hiva Fr.Poly.",NHV,"Nuku Hiva, French Polynesia: Nuku Hiva Fr.Poly."
3378,13674,"Brunswick, ME: Brunswick Executive",NHZ,"Brunswick, ME: Brunswick Executive"
3379,13675,"Nimba, Liberia: Nimba Airport",NIA,"Nimba, Liberia: Nimba Airport"
3380,13676,"Nikolai, AK: Nikolai Airport",NIB,"Nikolai, AK: Nikolai Airport"
3381,13677,"Nicosia, Cyprus: Nicosia Airport",NIC,"Nicosia, Cyprus: Nicosia Airport"
3382,13678,"Niblack, AK: Niblack Airport",NIE,"Niblack, AK: Niblack Airport"
3383,13679,"Nikunau, Kiribati: Nikunau Airport",NIG,"Nikunau, Kiribati: Nikunau Airport"
3384,13680,"Niamey, Niger: Diori Hamani",NIM,"Niamey, Niger: Diori Hamani"
3385,13681,"Ninilchik, AK: Ninilchik Airport",NIN,"Ninilchik, AK: Ninilchik Airport"
3386,13682,"Jacksonville, FL: Jacksonville NAS",NIP,"Jacksonville, FL: Jacksonville NAS"
3387,13683,"Niort, France: Niort Airport",NIT,"Niort, France: Niort Airport"
3388,13684,"Nioro, Mali: Nioro Airport",NIX,"Nioro, Mali: Nioro Airport"
3389,13686,"West Creek, NJ: Eagles Nest",NJ2,"West Creek, NJ: Eagles Nest"
3390,13687,"Atsugi, Japan: Atsugi NAF",NJA,"Atsugi, Japan: Atsugi NAF"
3391,13688,"Nizhnevartovsk, Russia: Nizhnevartovsk Airport",NJC,"Nizhnevartovsk, Russia: Nizhnevartovsk Airport"
3392,13689,"El Centro, CA: El Centro NAF",NJK,"El Centro, CA: El Centro NAF"
3393,13690,"Nkan, Gabon: Nkan Airport",NKA,"Nkan, Gabon: Nkan Airport"
3394,13691,"Nouakchott, Mauritania: Nouakchott Airport",NKC,"Nouakchott, Mauritania: Nouakchott Airport"
3395,13692,"Nanjing, China: Lukou",NKG,"Nanjing, China: Lukou"
3396,13693,"Naukiti, AK: Naukiti Airport",NKI,"Naukiti, AK: Naukiti Airport"
3397,13694,"Nagoya, Japan: Chubu Centrair International",NGO,"Nagoya, Japan: Chubu Centrair International"
3398,13695,"Nankina, Papua New Guinea: Nankina Airport",NKN,"Nankina, Papua New Guinea: Nankina Airport"
3399,13696,"Nkongsamba, Cameroon: Nkongsamba Airport",NKS,"Nkongsamba, Cameroon: Nkongsamba Airport"
3400,13697,"Cherry Point, NC: Cherry Point MCAS",N1C,"Cherry Point, NC: Cherry Point MCAS"
3401,13698,"Nichen Cove, AK: Nichin Cove Seaplane Base",NKV,"Nichen Cove, AK: Nichin Cove Seaplane Base"
3402,13699,"Diego Garcia, British Indian Ocean Territory: Diego Garcia Nsf",NKW,"Diego Garcia, British Indian Ocean Territory: Diego Garcia Nsf"
3403,13700,"San Diego, CA: Miramar MCAS",NKX,"San Diego, CA: Miramar MCAS"
3404,13701,"Ndola, Zambia: Ndola Airport",NLA,"Ndola, Zambia: Ndola Airport"
3405,13702,"Lemoore, CA: Lemoore NAS",NLC,"Lemoore, CA: Lemoore NAS"
3406,13704,"Nelson Lagoon, AK: Nelson Lagoon Airport",NLG,"Nelson Lagoon, AK: Nelson Lagoon Airport"
3407,13705,"Norfolk Island, Australia: Norfolk Island Airport",NLK,"Norfolk Island, Australia: Norfolk Island Airport"
3408,13706,"Kinshasa, Congo (Kinshasa): N'Dolo",NLO,"Kinshasa, Congo (Kinshasa): N'Dolo"
3409,13707,"Nelspruit, South Africa: Nelspruit Airport",NLP,"Nelspruit, South Africa: Nelspruit Airport"
3410,13708,"Nicholson, Australia: Nicholson Station",NLS,"Nicholson, Australia: Nicholson Station"
3411,13709,"Norman's Cay, The Bahamas: Norman's Cay Airport",NMC,"Norman's Cay, The Bahamas: Norman's Cay Airport"
3412,13710,"Nightmute, AK: Nightmute Airport",NME,"Nightmute, AK: Nightmute Airport"
3413,13711,"San Miguel, Panama: San Miguel Airport",NMG,"San Miguel, Panama: San Miguel Airport"
3414,13712,"Kenitra, Morocco: Kenitra Airport",NNA,"Kenitra, Morocco: Kenitra Airport"
3415,13714,"Naknek, AK: Naknek Airport",NNK,"Naknek, AK: Naknek Airport"
3416,13715,"Nondalton, AK: Nondalton Airport",NNL,"Nondalton, AK: Nondalton Airport"
3417,13716,"Nanuque, Brazil: Nanuque Airport",NNU,"Nanuque, Brazil: Nanuque Airport"
3418,13717,"Nanyang, China: Nanyang East",NNY,"Nanyang, China: Nanyang East"
3419,13718,"Nowra, Australia: Nowra Airport",NOA,"Nowra, Australia: Nowra Airport"
3420,13719,"Connaught, Ireland: Ireland West Airport Knock",NOC,"Connaught, Ireland: Ireland West Airport Knock"
3421,13720,"Nogales, Mexico: Nogales International",NOG,"Nogales, Mexico: Nogales International"
3422,13721,"Nonouti, Kiribati: Nonouti Airport",NON,"Nonouti, Kiribati: Nonouti Airport"
3423,13722,"Mactan Island, Philippines: Nab",NOP,"Mactan Island, Philippines: Nab"
3424,13723,"Nordfjordur, Iceland: Nordfjordur Airport",NOR,"Nordfjordur, Iceland: Nordfjordur Airport"
